Track_ID;Duracion_MS;Duracion;Loudness_dB;Clave;Modo;Tempo_BPM;Compas;Danceability;Energy;Speechiness;Instrumentalness;Acousticness;Liveness;Valence
4LRPiXqCikLlN15c3yImP7;167303;0:02:47.303000;-5.338;6;0;173.93;4;0.52;0.731;0.0557;0.00101;0.342;0.311;0.662
02MWAaffLxlfxAUY7c5dvx;238805;0:03:58.805000;-6.9;11;1;80.87;4;0.761;0.525;0.0944;6.7e-06;0.44;0.0921;0.531
5HCyWlXZPP0y6Gqq8TgA20;141806;0:02:21.806000;-5.484;1;1;169.928;4;0.591;0.764;0.0483;0.0;0.0383;0.103;0.478
6Sq7ltF9Qa7SNFBsV5Cogx;178567;0:02:58.567000;-5.105;1;0;92.005;4;0.911;0.712;0.0817;2.68e-05;0.0901;0.0933;0.425
1IHWl5LamUGEuP4ozKQSXZ;243717;0:04:03.717000;-5.198;5;0;106.672;4;0.65;0.715;0.253;0.000291;0.0993;0.126;0.187
6zSpb8dQRaw0M1dK8PBwQz;202735;0:03:22.735000;-6.312;1;1;116.032;4;0.796;0.798;0.0317;4.19e-05;0.034;0.0952;0.942
1r9xUipOqoNwggBpENDsvJ;173381;0:02:53.381000;-4.424;11;0;77.011;4;0.728;0.783;0.266;0.0;0.237;0.434;0.555
2tTmW7RDtMQtBk7m2rYeSw;198938;0:03:18.938000;-5.548;2;1;128.033;4;0.621;0.782;0.044;0.033;0.0125;0.23;0.55
3k3NWokhRRkEPhCzPmV8TW;258299;0:04:18.299000;-5.745;3;0;79.928;4;0.647;0.686;0.0413;1.34e-06;0.08;0.528;0.268
29d0nY7TzCoi22XBqDQkiP;300840;0:05:00.840000;-11.903;10;0;108.296;4;0.625;0.533;0.0596;0.00266;0.659;0.0546;0.139
27NovPIUIRrOZoCHxABJwK;212000;0:03:32;-7.409;3;0;149.995;4;0.736;0.704;0.0615;0.0;0.0203;0.0501;0.894
4fouWK6XVHhzl78KzQ1UjL;168602;0:02:48.602000;-5.692;4;1;121.932;4;0.695;0.54;0.0493;0.0;0.299;0.367;0.415
5Eax0qFko2dh7Rl2lYs3bx;213061;0:03:33.061000;-8.797;7;0;98.047;4;0.801;0.475;0.0516;1.73e-05;0.141;0.0639;0.234
6I3mqTwhRpn34SLVafSH7G;153190;0:02:33.190000;-5.569;2;1;153.96;4;0.601;0.741;0.0478;2.91e-05;0.185;0.415;0.441
6xGruZOHLs39ZbVccQTuPZ;233456;0:03:53.456000;-9.258;8;1;169.914;3;0.44;0.317;0.0531;4.78e-06;0.891;0.141;0.268
6Xom58OOXk2SoU711L2IXO;245940;0:04:05.940000;-5.453;5;0;99.968;4;0.804;0.674;0.0333;1.18e-06;0.294;0.115;0.292
50nfwKoDiSYg8zOCREWAm5;207853;0:03:27.853000;-2.724;2;1;141.02;4;0.788;0.859;0.0856;0.0;0.281;0.0424;0.822
0gplL1WMoJ6iYaPgMCL0gX;224695;0:03:44.695000;-7.519;5;1;141.981;4;0.604;0.366;0.0282;0.0;0.578;0.133;0.13
58HvfVOeJY7lUuCqF0m3ly;184448;0:03:04.448000;-8.271;4;0;185.727;3;0.41;0.611;0.0467;0.0;0.0228;0.116;0.0899
6Uj1ctrBOjOas8xZXGqKk4;172627;0:02:52.627000;-4.175;5;0;107.998;4;0.824;0.764;0.0854;0.00294;0.0888;0.117;0.881
2QjOHCTQ1Jl3zawyYOpxh6;240400;0:04:00.400000;-2.81;10;1;124.053;4;0.612;0.807;0.0336;0.0177;0.0495;0.101;0.398
6mmPpaltUZK7xjNlBPQQ0p;224997;0:03:44.997000;-3.35;1;0;90.02;4;0.869;0.694;0.0783;0.00125;0.356;0.0878;0.511
3JvKfv6T31zO0ini8iNItO;244360;0:04:04.360000;-8.532;4;0;122.769;4;0.445;0.537;0.04;1.65e-05;0.695;0.0944;0.131
7dSZ6zGTQx66c2GF91xCrb;210200;0:03:30.200000;-8.006;1;1;111.005;4;0.87;0.516;0.0541;0.00823;0.656;0.11;0.53
0QBzMgT7NIeoCYy3sJCof1;206071;0:03:26.071000;-6.377;8;1;94.996;4;0.756;0.697;0.0401;0.0;0.182;0.333;0.956
0wHFktze2PHC5jDt3B17DC;173948;0:02:53.948000;-5.902;5;0;107.005;4;0.902;0.582;0.109;3.18e-06;0.111;0.111;0.332
0VjIjW4GlUZAMYd2vXMi3b;200040;0:03:20.040000;-5.934;1;1;171.005;4;0.514;0.73;0.0598;9.54e-05;0.00146;0.0897;0.334
1ri9ZUkBJVFUdgwzCnfcYs;226088;0:03:46.088000;-3.563;4;0;93.991;4;0.843;0.7;0.0803;0.0;0.0934;0.14;0.899
3uUuGVFu1V7jTQL60S1r8z;148197;0:02:28.197000;-8.117;6;0;120.966;4;0.671;0.636;0.103;0.000411;0.515;0.172;0.262
3rmo8F54jFF8OgYsqTxm5d;230747;0:03:50.747000;-3.745;11;0;126.011;4;0.807;0.893;0.0347;2.79e-05;0.0451;0.366;0.537
5fwSHlTEWpluwOM0Sxnh5k;287120;0:04:47.120000;-3.955;7;1;130.001;4;0.762;0.766;0.0343;6.98e-05;0.00776;0.128;0.442
4ZtFanR9U6ndgddUvNcjcG;178147;0:02:58.147000;-5.044;9;1;166.928;4;0.563;0.664;0.154;0.0;0.335;0.0849;0.688
2eAvDnpXP5W0cVtiI0PUxV;233720;0:03:53.720000;-2.958;1;1;116.959;3;0.609;0.692;0.0259;0.0;0.0157;0.0864;0.454
1PckUlxKqWQs3RlWXVBLw3;191822;0:03:11.822000;-6.305;10;0;108.966;4;0.836;0.743;0.0656;0.0;0.0995;0.335;0.722
0e8nrvls4Qqv5Rfa2UhqmO;143901;0:02:23.901000;-4.51;1;0;87.981;4;0.737;0.846;0.22;0.0;0.00614;0.0486;0.546
4h9wh7iOZ0GGn8QVp4RAOB;148486;0:02:28.486000;-5.927;0;1;139.994;4;0.704;0.797;0.0475;0.000745;0.0826;0.0546;0.825
46HNZY1i7O6jwTA7Slo2PI;226198;0:03:46.198000;-6.268;1;0;105.006;4;0.573;0.711;0.0406;0.0;0.0114;0.328;0.47
5ww2BF9slyYgNOk37BlC4u;162638;0:02:42.638000;-5.329;7;0;124.98;4;0.835;0.679;0.0364;1.98e-06;0.583;0.218;0.85
1O2pcBJGej0pmH2Y9XZMs6;153750;0:02:33.750000;-5.253;10;0;96.018;4;0.87;0.548;0.077;4.6e-05;0.0924;0.0534;0.832
4SqWKzw0CbA05TGszDgMlc;160240;0:02:40.240000;-4.891;10;1;75.977;4;0.575;0.648;0.0358;0.0;0.583;0.115;0.466
1SOClUWhOi8vHZYMz3GluK;237720;0:03:57.720000;-6.941;11;0;121.963;4;0.671;0.673;0.0444;5.29e-05;0.148;0.304;0.494
4tYFy8ALRjIZvnvSLw5lxN;227629;0:03:47.629000;-5.389;9;1;97.013;4;0.829;0.799;0.0897;0.000543;0.0151;0.242;0.471
6UelLqGlWMcVH1E5c4H7lY;174000;0:02:54;-4.209;0;1;95.39;4;0.548;0.816;0.0465;0.0;0.122;0.335;0.557
18asYwWugKjjsihZ0YvRxO;164819;0:02:44.819000;-4.627;7;0;117.953;4;0.754;0.763;0.0435;2.23e-05;0.0301;0.0901;0.464
5CZ40GBx1sQ9agT82CLQCT;229227;0:03:49.227000;-7.885;3;1;100.607;4;0.38;0.339;0.0338;0.0;0.691;0.12;0.0849
1qEmFfgcLObUfQm0j1W2CK;177955;0:02:57.955000;-4.595;10;1;114.996;4;0.714;0.728;0.0468;0.0;0.298;0.106;0.901
0T5iIrXA4p5GsubkhuBIKV;177720;0:02:57.720000;-6.05;10;1;101.358;3;0.539;0.508;0.0288;0.0;0.727;0.174;0.227
4gzsuuZypVbxs0Af1LSZyB;207301;0:03:27.301000;-6.33;4;0;169.888;4;0.639;0.703;0.0794;1.78e-06;0.0889;0.0865;0.138
2JPLbjOn0wPCngEot2STUS;206710;0:03:26.710000;-4.601;1;1;179.951;4;0.644;0.648;0.118;0.0;0.276;0.135;0.44
41oY4WCTj5kccfesTVFnvN;237895;0:03:57.895000;-3.971;11;0;114.011;4;0.795;0.684;0.0419;0.0;0.0225;0.658;0.419
